,rayon principal,lien rayon,sous rayon,lien sous rayon,nom produits
0,Jouetsjeuxvidéoloisirs,https://www.auchan.fr/jouets-jeux-video-loisirs/ca-101042021,N/A,N/A,N/A
1,AucoeurdeNoël,https://www.auchan.fr/au-coeur-de-noel/ca-b202011041100,RepasdefÃªte,https://www.auchan.fr/au-coeur-de-noel/repas-de-fete/ca-b202210241400,",,HuîtresMarennesd'Oléroncalibren°2,12huîtres"
2,AucoeurdeNoël,https://www.auchan.fr/au-coeur-de-noel/ca-b202011041100,RepasdefÃªte,https://www.auchan.fr/au-coeur-de-noel/repas-de-fete/ca-b202210241400,"AUCHAN,Saumonfumémini-tranches,5piècesminimum100g"
3,AucoeurdeNoël,https://www.auchan.fr/au-coeur-de-noel/ca-b202011041100,RepasdefÃªte,https://www.auchan.fr/au-coeur-de-noel/repas-de-fete/ca-b202210241400,"AUCHAN,Saumonfuméd'Ecossemini,4tranches140g"
4,AucoeurdeNoël,https://www.auchan.fr/au-coeur-de-noel/ca-b202011041100,RepasdefÃªte,https://www.auchan.fr/au-coeur-de-noel/repas-de-fete/ca-b202210241400,"AUCHAN,SaumonfumédeNorvègemini,4tranches140g"
5,AucoeurdeNoël,https://www.auchan.fr/au-coeur-de-noel/ca-b202011041100,RepasdefÃªte,https://www.auchan.fr/au-coeur-de-noel/repas-de-fete/ca-b202210241400,"AUCHAN,SaumonsauvagerougeduPacifiquefumé,4tranches120g"
6,AucoeurdeNoël,https://www.auchan.fr/au-coeur-de-noel/ca-b202011041100,RepasdefÃªte,https://www.auchan.fr/au-coeur-de-noel/repas-de-fete/ca-b202210241400,"AUCHAN,Saumonrougedupacifiquesauvage,330g12tranches"
7,AucoeurdeNoël,https://www.auchan.fr/au-coeur-de-noel/ca-b202011041100,RepasdefÃªte,https://www.auchan.fr/au-coeur-de-noel/repas-de-fete/ca-b202210241400,"AUCHAN,Truitefumée,6tranches150g"
8,AucoeurdeNoël,https://www.auchan.fr/au-coeur-de-noel/ca-b202011041100,RepasdefÃªte,https://www.auchan.fr/au-coeur-de-noel/repas-de-fete/ca-b202210241400,"AUCHANBIO,Saumonfuméd'Atlantique,4tranches120g"
9,AucoeurdeNoël,https://www.auchan.fr/au-coeur-de-noel/ca-b202011041100,RepasdefÃªte,https://www.auchan.fr/au-coeur-de-noel/repas-de-fete/ca-b202210241400,"AUCHAN,Lardonsdesaumonfumé,90g"
10,AucoeurdeNoël,https://www.auchan.fr/au-coeur-de-noel/ca-b202011041100,RepasdefÃªte,https://www.auchan.fr/au-coeur-de-noel/repas-de-fete/ca-b202210241400,"AUCHANCOLLECTION,SaumonfumédeNorvègefilièreresponsable,8tranches320g"
11,AucoeurdeNoël,https://www.auchan.fr/au-coeur-de-noel/ca-b202011041100,RepasdefÃªte,https://www.auchan.fr/au-coeur-de-noel/repas-de-fete/ca-b202210241400,"AUCHANCOLLECTION,Saumond'Ecossefuméauboisdehêtrefilièreresponsable,8tranches320g"
12,AucoeurdeNoël,https://www.auchan.fr/au-coeur-de-noel/ca-b202011041100,RepasdefÃªte,https://www.auchan.fr/au-coeur-de-noel/repas-de-fete/ca-b202210241400,"DELPEYRAT,LeSaumonFuméDelpeyratorigineEcosse12Tranchesmini,12tranches390g"
13,AucoeurdeNoël,https://www.auchan.fr/au-coeur-de-noel/ca-b202011041100,RepasdefÃªte,https://www.auchan.fr/au-coeur-de-noel/repas-de-fete/ca-b202210241400,"LABEYRIE,Saumonfuméd'Ecosse,4tranches+1offerte160g"
14,AucoeurdeNoël,https://www.auchan.fr/au-coeur-de-noel/ca-b202011041100,RepasdefÃªte,https://www.auchan.fr/au-coeur-de-noel/repas-de-fete/ca-b202210241400,"AUCHANCOLLECTION,Saumonfuméd'Ecossefilièreresponsable,4tranches160g"
15,AucoeurdeNoël,https://www.auchan.fr/au-coeur-de-noel/ca-b202011041100,RepasdefÃªte,https://www.auchan.fr/au-coeur-de-noel/repas-de-fete/ca-b202210241400,"OVIVE,TruitefuméePyrénées,4tranches120g"
16,AucoeurdeNoël,https://www.auchan.fr/au-coeur-de-noel/ca-b202011041100,RepasdefÃªte,https://www.auchan.fr/au-coeur-de-noel/repas-de-fete/ca-b202210241400,"AUCHANBIO,Truitefumée,4tranches120g"
17,AucoeurdeNoël,https://www.auchan.fr/au-coeur-de-noel/ca-b202011041100,RepasdefÃªte,https://www.auchan.fr/au-coeur-de-noel/repas-de-fete/ca-b202210241400,"DELPEYRAT,LeSaumonFuméorigineEcosse,4tranches120g"
18,AucoeurdeNoël,https://www.auchan.fr/au-coeur-de-noel/ca-b202011041100,RepasdefÃªte,https://www.auchan.fr/au-coeur-de-noel/repas-de-fete/ca-b202210241400,"AUCHANCOLLECTION,Émincésdesaumonfuméàl'aneth,7à9pièces100g"
19,AucoeurdeNoël,https://www.auchan.fr/au-coeur-de-noel/ca-b202011041100,RepasdefÃªte,https://www.auchan.fr/au-coeur-de-noel/repas-de-fete/ca-b202210241400,"AUCHANBIO,Saumonfuméd'Atlantiquetranché,2tranches70g"
20,AucoeurdeNoël,https://www.auchan.fr/au-coeur-de-noel/ca-b202011041100,RepasdefÃªte,https://www.auchan.fr/au-coeur-de-noel/repas-de-fete/ca-b202210241400,"WILLIAM&JAMES,Saumonfumébio,4tranches100g"
